"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Series","Number of LABs/CLBs","Number of Logic Elements/Cells","Total RAM Bits","Number of I/O","Number of Gates","Voltage - Supply","Mounting Type","Operating Temperature","Package / Case","Supplier Device Package"
"http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1734-ND","XC6SLX4-2TQG144C","Xilinx Inc.","IC FPGA 102 I/O 144TQFP",3078,0,"17.14000",100,1,"Spartan® 6 LX","300","3840","221184","102","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1589-ND","XC3S50A-4TQG144I","Xilinx Inc.","IC FPGA 108 I/O 144TQFP",925,0,"18.61000",100,1,"Spartan®-3A","176","1584","55296","108","50000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds099.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK012;VQ,VQG;100.jpg","122-1504-ND","XC3S50-4VQG100C","Xilinx Inc.","IC FPGA 63 I/O 100VQFP",314,0,"14.84270",100,1,"Spartan®-3","192","1728","73728","63","50000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","100-TQFP","100-VQFP (14x14)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/iCE/iCE40LPHXFamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/LCMXO2-2000HE-4BG256C.jpg","220-1575-ND","ICE40HX8K-CT256","Lattice Semiconductor Corporation","IC FPGA 206 I/O 256BGA",225,0,"15.27020",100,1,"HX","960","7680","131072","206","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","256-LFBGA, CSPBGA","256-CABGA (14x14)"
"http://www.xilinx.com/support/documentation/data_sheets/ds001.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK012;VQ,VQG;100.jpg","122-1513-5-ND","XC2S30-5VQG100C","Xilinx Inc.","IC FPGA 60 I/O 100VQFP",331,0,"19.44000",100,1,"Spartan®-II","216","972","24576","60","30000","2.375 V ~ 2.625 V","Surface Mount","0°C ~ 85°C","100-TQFP","100-VQFP (14x14)"
"http://www.xilinx.com/support/documentation/data_sheets/ds557.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1555-ND","XC3S50AN-4TQG144C","Xilinx Inc.","IC FPGA 108 I/O 144TQFP",1067,0,"19.55000",100,1,"Spartan®-3AN","176","1584","55296","108","50000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/132CSBGA.jpg","220-1248-ND","LFXP2-5E-5MN132C","Lattice Semiconductor Corporation","IC FPGA 86 I/O 132BGA",473,0,"16.02430",100,1,"XP2","625","5000","169984","86","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","132-LFBGA, CSPBGA","132-CSPBGA (8x8)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","220-1250-ND","LFXP2-5E-5TN144C","Lattice Semiconductor Corporation","IC FPGA 100 I/O 144TQFP",0,0,"16.02430",100,1,"XP2","625","5000","169984","100","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds312.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK012;VQ,VQG;100.jpg","122-1479-ND","XC3S100E-4VQG100C","Xilinx Inc.","IC FPGA 66 I/O 100VQFP",180,0,"20.70000",100,1,"Spartan®-3E","240","2160","73728","66","100000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","100-TQFP","100-VQFP (14x14)"
"http://www.xilinx.com/support/documentation/data_sheets/ds001.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1318-ND","XC2S30-5TQG144C","Xilinx Inc.","IC FPGA 92 I/O 144TQFP",324,0,"22.37000",100,1,"Spartan®-II","216","972","24576","92","30000","2.375 V ~ 2.625 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds557.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1597-ND","XC3S50AN-4TQG144I","Xilinx Inc.","IC FPGA 108 I/O 144TQFP",1464,0,"22.47000",100,1,"Spartan®-3AN","176","1584","55296","108","50000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds557.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1590-ND","XC3S50AN-5TQG144C","Xilinx Inc.","IC FPGA 108 I/O 144TQFP",178,0,"23.41000",100,1,"Spartan®-3AN","176","1584","55296","108","50000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/132CSBGA.jpg","220-1108-ND","LFXP2-5E-5MN132I","Lattice Semiconductor Corporation","IC FPGA 86 I/O 132BGA",590,0,"19.22900",100,1,"XP2","625","5000","169984","86","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","132-LFBGA, CSPBGA","132-CSPBGA (8x8)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","220-1107-ND","LFXP2-5E-5TN144I","Lattice Semiconductor Corporation","IC FPGA 100 I/O 144TQFP",103,0,"19.22900",100,1,"XP2","625","5000","169984","100","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds312.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1478-ND","XC3S100E-4TQG144C","Xilinx Inc.","IC FPGA 108 I/O 144TQFP",224,0,"24.15000",100,1,"Spartan®-3E","240","2160","73728","108","100000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK012;VQ,VQG;100.jpg","122-1594-ND","XC3S200A-4VQG100C","Xilinx Inc.","IC FPGA 68 I/O 100VQFP",1442,0,"24.35000",100,1,"Spartan®-3A","448","4032","294912","68","200000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","100-TQFP","100-VQFP (14x14)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/LFXP2-30E-5FTN256I.JPG","220-1247-ND","LFXP2-5E-5FTN256C","Lattice Semiconductor Corporation","IC FPGA 172 I/O 256BGA",328,0,"19.60610",100,1,"XP2","625","5000","169984","172","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","256-LBGA","256-FTBGA (17x17)"
"http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1745-ND","XC6SLX9-2TQG144C","Xilinx Inc.","IC FPGA 102 I/O 144TQFP",1787,0,"24.67000",100,1,"Spartan® 6 LX","715","9152","589824","102","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds001.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1321-ND","XC2S50-5TQG144C","Xilinx Inc.","IC FPGA 92 I/O 144TQFP",1238,0,"24.88000",100,1,"Spartan®-II","384","1728","32768","92","50000","2.375 V ~ 2.625 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","220-1254-ND","LFXP2-8E-5TN144C","Lattice Semiconductor Corporation","IC FPGA 100 I/O 144TQFP",203,0,"20.54880",100,1,"XP2","1000","8000","226304","100","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds099.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1720-ND","XC3S50-4TQG144I","Xilinx Inc.","IC FPGA 97 I/O 144TQFP",509,0,"20.80070",100,1,"Spartan®-3","192","1728","73728","97","50000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1747-ND","XC6SLX9-3TQG144C","Xilinx Inc.","IC FPGA 102 I/O 144TQFP",1454,0,"27.07000",100,1,"Spartan® 6 LX","715","9152","589824","102","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK012;VQ,VQG;100.jpg","122-1595-ND","XC3S200A-4VQG100I","Xilinx Inc.","IC FPGA 68 I/O 100VQFP",408,0,"28.01000",100,1,"Spartan®-3A","448","4032","294912","68","200000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","100-TQFP","100-VQFP (14x14)"
"http://www.xilinx.com/support/documentation/data_sheets/ds099.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1340-ND","XC3S200-4TQG144C","Xilinx Inc.","IC FPGA 97 I/O 144TQFP",714,0,"22.26400",100,1,"Spartan®-3","480","4320","221184","97","200000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf","http://media.digikey.com/Photos/Xilinx%20Photos/SPARTAN-6-LX-225.jpg","122-1744-ND","XC6SLX9-2CSG225C","Xilinx Inc.","IC FPGA 160 I/O 225CSPBGA",747,0,"28.33000",100,1,"Spartan® 6 LX","715","9152","589824","160","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","225-LFBGA, CSPBGA","225-CSPBGA (13x13)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/LFXP2-30E-5FTN256I.JPG","220-1105-ND","LFXP2-5E-5FTN256I","Lattice Semiconductor Corporation","IC FPGA 172 I/O 256BGA",0,0,"22.81100",100,1,"XP2","625","5000","169984","172","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","256-LBGA","256-FTBGA (17x17)"
"http://www.xilinx.com/support/documentation/data_sheets/ds312.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK012;VQ,VQG;100.jpg","122-1525-ND","XC3S250E-4VQG100C","Xilinx Inc.","IC FPGA 66 I/O 100VQFP",1401,0,"28.54000",100,1,"Spartan®-3E","612","5508","221184","66","250000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","100-TQFP","100-VQFP (14x14)"
"http://www.xilinx.com/support/documentation/data_sheets/ds001.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK007;PQ,PQG;208.jpg","122-1320-ND","XC2S50-5PQG208C","Xilinx Inc.","IC FPGA 140 I/O 208PQFP",835,0,"28.54000",100,1,"Spartan®-II","384","1728","32768","140","50000","2.375 V ~ 2.625 V","Surface Mount","0°C ~ 85°C","208-BFQFP","208-PQFP (28x28)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK053-256.jpg","122-1543-ND","XC3S200A-4FTG256C","Xilinx Inc.","IC FPGA 195 I/O 256FTBGA",492,0,"29.27000",100,1,"Spartan®-3A","448","4032","294912","195","200000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","256-LBGA","256-FTBGA (17x17)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/LFXP2-30E-5FTN256I.JPG","220-1252-ND","LFXP2-8E-5FTN256C","Lattice Semiconductor Corporation","IC FPGA 201 I/O 256BGA",1073,0,"24.13060",100,1,"XP2","1000","8000","226304","201","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","256-LBGA","256-FTBGA (17x17)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Photos/Lattice%20Semi%20Photos/132CSBGA.jpg","220-1116-ND","LFXP2-8E-5MN132I","Lattice Semiconductor Corporation","IC FPGA 86 I/O 132BGA",658,0,"24.60180",100,1,"XP2","1000","8000","226304","86","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","132-LFBGA, CSPBGA","132-CSPBGA (8x8)"
"http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/LatticeXP2/LatticeXP2FamilyDataSheet.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","220-1115-ND","LFXP2-8E-5TN144I","Lattice Semiconductor Corporation","IC FPGA 100 I/O 144TQFP",405,0,"24.60180",100,1,"XP2","1000","8000","226304","100","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1748-ND","XC6SLX9-3TQG144I","Xilinx Inc.","IC FPGA 102 I/O 144TQFP",1963,0,"31.15000",100,1,"Spartan® 6 LX","715","9152","589824","102","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds099.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1711-ND","XC3S200-4TQG144I","Xilinx Inc.","IC FPGA 97 I/O 144TQFP",472,0,"25.60890",100,1,"Spartan®-3","480","4320","221184","97","200000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf","http://media.digikey.com/Photos/Xilinx%20Photos/324-CSPBGA.JPG","122-1778-ND","XC6SLX9-2CSG324C","Xilinx Inc.","IC FPGA 200 I/O 324CSPBGA",345,0,"32.61000",100,1,"Spartan® 6 LX","715","9152","589824","200","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","324-LFBGA, CSPBGA","324-CSPBGA (15x15)"
"http://www.xilinx.com/support/documentation/data_sheets/ds312.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1524-ND","XC3S250E-4TQG144C","Xilinx Inc.","IC FPGA 108 I/O 144TQFP",369,0,"33.34000",100,1,"Spartan®-3E","612","5508","221184","108","250000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK053-256.jpg","122-1714-ND","XC3S200A-4FTG256I","Xilinx Inc.","IC FPGA 195 I/O 256FTBGA",941,0,"33.66000",100,1,"Spartan®-3A","448","4032","294912","195","200000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","256-LBGA","256-FTBGA (17x17)"
"http://www.xilinx.com/support/documentation/data_sheets/ds001.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1305-ND","XC2S100-5TQG144C","Xilinx Inc.","IC FPGA 92 I/O 144TQFP",359,0,"34.08000",100,1,"Spartan®-II","600","2700","40960","92","100000","2.375 V ~ 2.625 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK071-320.jpg","122-1544-ND","XC3S200A-4FGG320C","Xilinx Inc.","IC FPGA 248 I/O 320FBGA",686,0,"34.39000",100,1,"Spartan®-3A","448","4032","294912","248","200000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","320-BGA","320-FBGA (19x19)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK053-256.jpg","122-1545-ND","XC3S400A-4FTG256C","Xilinx Inc.","IC FPGA 195 I/O 256FTBGA",106,0,"34.39000",100,1,"Spartan®-3A","896","8064","368640","195","400000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","256-LBGA","256-FTBGA (17x17)"
"http://www.xilinx.com/support/documentation/data_sheets/ds557.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK053-256.jpg","122-1553-ND","XC3S200AN-4FTG256C","Xilinx Inc.","IC FPGA 195 I/O 256FTBGA",1672,0,"34.49000",100,1,"Spartan®-3AN","448","4032","294912","195","200000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","256-LBGA","256-FTBGA (17x17)"
"http://www.xilinx.com/support/documentation/data_sheets/ds001.pdf","http://media.digikey.com/Renders/Xilinx%20Renders/122;PK007;PQ,PQG;208.jpg","122-1304-ND","XC2S100-5PQG208C","Xilinx Inc.","IC FPGA 140 I/O 208PQFP",147,0,"37.84000",100,1,"Spartan®-II","600","2700","40960","140","100000","2.375 V ~ 2.625 V","Surface Mount","0°C ~ 85°C","208-BFQFP","208-PQFP (28x28)"
"http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf","http://media.digikey.com/Photos/Xilinx%20Photos/SPARTAN-6-LX-225.jpg","122-1670-ND","XC6SLX16-2CSG225C","Xilinx Inc.","IC FPGA 160 I/O 225CSPBGA",630,0,"38.15000",100,1,"Spartan® 6 LX","1139","14579","589824","160","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","225-LFBGA, CSPBGA","225-CSPBGA (13x13)"
"http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK053-256.jpg","122-1672-ND","XC6SLX16-2FTG256C","Xilinx Inc.","IC FPGA 186 I/O 256FTBGA",393,0,"38.15000",100,1,"Spartan® 6 LX","1139","14579","589824","186","-","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","256-LBGA","256-FTBGA (17x17)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK053-256.jpg","122-1588-ND","XC3S400A-4FTG256I","Xilinx Inc.","IC FPGA 195 I/O 256FTBGA",290,0,"39.62000",100,1,"Spartan®-3A","896","8064","368640","195","400000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","256-LBGA","256-FTBGA (17x17)"
"http://www.xilinx.com/support/documentation/data_sheets/ds557.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK053-256.jpg","122-1569-ND","XC3S200AN-4FTG256I","Xilinx Inc.","IC FPGA 195 I/O 256FTBGA",247,0,"39.62000",100,1,"Spartan®-3AN","448","4032","294912","195","200000","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","256-LBGA","256-FTBGA (17x17)"
"http://www.xilinx.com/support/documentation/data_sheets/ds162.pdf","http://media.digikey.com/Photos/Xilinx%20Photos/XC6SLX16-2CPG196I.jpg","122-1727-ND","XC6SLX16-2CPG196I","Xilinx Inc.","IC FPGA 106 I/O 196CSBGA",1337,0,"40.24000",100,1,"Spartan® 6 LX","1139","14579","589824","106","-","1.14 V ~ 1.26 V","Surface Mount","-40°C ~ 100°C","196-TFBGA, CSBGA","196-CSPBGA (8x8)"
"http://www.xilinx.com/support/documentation/data_sheets/ds529.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK071-320.jpg","122-1546-ND","XC3S400A-4FGG320C","Xilinx Inc.","IC FPGA 251 I/O 320FBGA",347,0,"40.45000",100,1,"Spartan®-3A","896","8064","368640","251","400000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","320-BGA","320-FBGA (19x19)"
"http://www.xilinx.com/support/documentation/data_sheets/ds099.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","122-1717-ND","XC3S400-4TQG144C","Xilinx Inc.","IC FPGA 97 I/O 144TQFP",568,0,"32.40300",100,1,"Spartan®-3","896","8064","294912","97","400000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","144-LQFP","144-TQFP (20x20)"
"http://www.xilinx.com/support/documentation/data_sheets/ds557.pdf","http://media.digikey.com/Renders/xilinx%20renders/PK053-256.jpg","122-1599-ND","XC3S200AN-5FTG256C","Xilinx Inc.","IC FPGA 195 I/O 256FTBGA",72,0,"41.29000",100,1,"Spartan®-3AN","448","4032","294912","195","200000","1.14 V ~ 1.26 V","Surface Mount","0°C ~ 85°C","256-LBGA","256-FTBGA (17x17)"
